objectPath,objectName,objectType,id
/Explore/Default,XX_employee_RPCTSK,DRS,7qAmf4CrIBPbBS9DyTZYm3
/Explore/Default,XX_employee_SCD_type1,DTEMPLATE,5ge72fwM0Uajb4vCOKq1yV
/Explore/Default,FL_Employee_FF,MI_FILE_LISTENER,5T7Xk91hNR9keGYwX1LYm2
/SYS,TGT_FF_CONN,Connection,5XqD5CsKFb2fyxiv0ZDXGz
/SYS,khadharbasha,AgentGroup,gmEj5e8S3iTl6rSShIeJ0z
/Explore/Default,XX_FOOD_MCT,MTT,454r472eriOipnwL1W7OKl
/Explore/Default,XX_food_mapping,DTEMPLATE,gq66PPNVacLdcTvGsfP4Mu
/Explore/Default,XX_Food_TF,TASKFLOW,76qObKgdYSjhMtFpNaUii3
/Explore/Default,XX_EMP_PARELLEL_TASK,TASKFLOW,6E4BkhY6uygiLg8Ycqq78t
/SYS,SRC_ORA_CONN,Connection,jix7cXj8msYe4d6lSvnb8B
/SYS,TGT_ORA_CONN,Connection,2cPTl6d0qs5gll6mzYZRwg
/Explore,Default,Project,2mJGXLdVq6nlM2G8wgLD0J
/Explore/Default,XX_employee_SCD_type2,DTEMPLATE,8bnRl73UZXVd5DT72DmnGq
/Explore/Default,XX_EMP_SEQ_TSKFW,TASKFLOW,dcy2siXTWY2eJ0gDNsPsYy
/Explore/Default,XX_employee_TF,TASKFLOW,ao6Jrlf1Zm8j8ytPGky96V
/Explore/Default,XX_employee_info_SCD_type1,DTEMPLATE,aOaSCx0bPacdIH2ZNHQACl
/Explore/Default,XX_employee_sync_task,DSS,5aczOwWqHsekOoUkcnvdKD
/Explore/Default,XX_employee_SCD_Type2_MCT,MTT,6vXYhKQqy8UfY8Zkq5ujE2
/Explore/Default,XX_Employee_MCT,MTT,35FrfSHHASflg5fg3uJPoK
/SYS,SRC_FF_CONN,Connection,8yz3rG7bOf3fFZqkNaZgmL
